Author	n (strains)	publication title	journal	publication URL	strains
Terrier et al	1	unknown	unknown	unknown	France/IDF0386-islP1/2020
Octavia et al	5	unknown	unknown	unknown	Singapore/7/2020,Singapore/8/2020,Singapore/9/2020,Singapore/10/2020,Singapore/11/2020
Thomas S.H. Chung et al	1	unknown	unknown	unknown	canine/HongKong/20-02756/2020
Chong-Yee YAU et al	1	unknown	unknown	unknown	HongKong/HKPU35_0402/2020
Linlin et al	1	unknown	unknown	unknown	China/WH-09/2020
Marquez et al	1	unknown	unknown	unknown	Ecuador/HEE-01/2020
Deng et al	1	unknown	unknown	unknown	USA/CA-CDPH-UC2/2020
Shi et al	2	unknown	unknown	unknown	China/IQTC02/2020,China/IQTC01/2020
Jing Lu et al	1	unknown	unknown	unknown	Guangdong/FS-S42-P0046/2020
Zhang et al	6	unknown	unknown	unknown	USA/WI1/2020,Wuhan-Hu-1/2019,Shanghai/SH01/2020,Zhejiang/WZ-02/2020,USA/CA6/2020,Zhejiang/HZ103/2020
Cui et al	1	unknown	unknown	unknown	Jiangsu/JS01/2020
Alghoribi et al	1	unknown	unknown	unknown	SaudiArabia/KAIMRC-Alghoribi/2020
